Id Wisata,Nama Wisata,Kategori
,,
1,Makam Mbah Sayyid Arif segoropuro,Religi 
2,Makam Mbah Soleh semendi,Religi 
3,Masjid Muhammad Cheng Hoo,Religi 
4,Air Terjun Kakek Bodo,Alam
5,Air Terjun Putuk Truno,Alam
6,Danau Ranu Grati,Alam
7,Pemandian Alam Banyu Biru,Alam
8,Air Terjun Coban Baung,Alam
9,Jendela Langit,Alam
10,Taman Edelweiss Desa Wonokriti,Alam
11,The Taman Dayu by Ciputra,Alam
12,Bukit Flora,Alam
13,Gunung Bromo,Alam
14,Pintu Langit,Alam
15,Kebun Raya Purwodadi,Alam
16,Bromo Forest,Alam
17,Bhakti Alam,Alam
18,Red Flower Puspo,Alam
19,Taman Safari,Alam
20,Lembah Diyeng Gempol,Alam
21,Candi Jawi,Sejarah
22,Kebun kurma,Argo
23,Cimory Dairy Land Pandaan,Edukasi
24,Kebun Pak Budi,Edukasi
25,Rawon Sakinah,Kuliner
